idna_subject,checker_type,destination,tested_at
206.238.37.155,AVAILABILITY,origin.list,2023-06-09 06:45:08.690603
206.238.37.159,AVAILABILITY,origin.list,2023-06-09 06:45:08.951288
206.238.37.160,AVAILABILITY,origin.list,2023-06-09 06:45:12.668526
206.238.37.158,AVAILABILITY,origin.list,2023-06-09 06:45:12.669644
206.238.37.161,AVAILABILITY,origin.list,2023-06-09 06:45:12.693379
206.238.37.164,AVAILABILITY,origin.list,2023-06-09 06:45:19.958117
206.238.37.166,AVAILABILITY,origin.list,2023-06-09 06:45:20.135410
206.238.37.162,AVAILABILITY,origin.list,2023-06-09 06:45:23.929346
206.238.37.163,AVAILABILITY,origin.list,2023-06-09 06:45:23.937079
206.238.37.167,AVAILABILITY,origin.list,2023-06-09 06:45:24.030603
206.238.37.168,AVAILABILITY,origin.list,2023-06-09 06:45:31.149290
206.238.37.165,AVAILABILITY,origin.list,2023-06-09 06:45:31.318925
206.238.37.169,AVAILABILITY,origin.list,2023-06-09 06:45:35.176063
206.238.37.171,AVAILABILITY,origin.list,2023-06-09 06:45:35.193292
206.238.37.174,AVAILABILITY,origin.list,2023-06-09 06:45:35.206822
206.238.37.173,AVAILABILITY,origin.list,2023-06-09 06:45:42.377799
206.238.37.172,AVAILABILITY,origin.list,2023-06-09 06:45:42.499172
206.238.37.176,AVAILABILITY,origin.list,2023-06-09 06:45:46.425913
206.238.37.179,AVAILABILITY,origin.list,2023-06-09 06:45:46.473566
206.238.37.170,AVAILABILITY,origin.list,2023-06-09 06:45:46.545369
206.238.37.177,AVAILABILITY,origin.list,2023-06-09 06:45:53.558409
206.238.37.180,AVAILABILITY,origin.list,2023-06-09 06:45:53.675197
206.238.37.178,AVAILABILITY,origin.list,2023-06-09 06:45:57.614346
206.238.37.175,AVAILABILITY,origin.list,2023-06-09 06:45:57.657546
206.238.37.183,AVAILABILITY,origin.list,2023-06-09 06:45:57.727130
206.238.37.182,AVAILABILITY,origin.list,2023-06-09 06:46:04.747952
206.238.37.184,AVAILABILITY,origin.list,2023-06-09 06:46:04.867306
206.238.37.185,AVAILABILITY,origin.list,2023-06-09 06:46:08.798199
206.238.37.181,AVAILABILITY,origin.list,2023-06-09 06:46:08.841854
206.238.37.186,AVAILABILITY,origin.list,2023-06-09 06:46:08.903925
206.238.37.187,AVAILABILITY,origin.list,2023-06-09 06:46:15.959568
206.238.37.191,AVAILABILITY,origin.list,2023-06-09 06:46:16.043199
206.238.37.190,AVAILABILITY,origin.list,2023-06-09 06:46:20.002244
206.238.37.188,AVAILABILITY,origin.list,2023-06-09 06:46:20.031587
206.238.37.189,AVAILABILITY,origin.list,2023-06-09 06:46:20.081485
206.238.37.65,AVAILABILITY,origin.list,2023-06-09 06:46:27.197393
206.238.37.64,AVAILABILITY,origin.list,2023-06-09 06:46:27.222535
206.238.37.66,AVAILABILITY,origin.list,2023-06-09 06:46:31.209482
206.238.37.68,AVAILABILITY,origin.list,2023-06-09 06:46:31.281692
206.238.37.69,AVAILABILITY,origin.list,2023-06-09 06:46:31.279740
206.238.37.67,AVAILABILITY,origin.list,2023-06-09 06:46:38.389151
206.238.37.70,AVAILABILITY,origin.list,2023-06-09 06:46:38.415122
206.238.37.71,AVAILABILITY,origin.list,2023-06-09 06:46:42.435932
206.238.37.72,AVAILABILITY,origin.list,2023-06-09 06:46:42.508777
206.238.37.73,AVAILABILITY,origin.list,2023-06-09 06:46:42.510511
206.238.37.74,AVAILABILITY,origin.list,2023-06-09 06:46:49.595072
206.238.37.75,AVAILABILITY,origin.list,2023-06-09 06:46:49.622364
206.238.37.79,AVAILABILITY,origin.list,2023-06-09 06:46:53.618090
206.238.37.77,AVAILABILITY,origin.list,2023-06-09 06:46:53.749616
206.238.37.76,AVAILABILITY,origin.list,2023-06-09 06:46:53.773642
206.238.37.80,AVAILABILITY,origin.list,2023-06-09 06:47:00.791712
